Channel			  :,CH1
Frequency			  :,F=39.45Hz
Period 			  :,T=25.35ms
PK-PK				  :,Vpp=984.0mV
Average			  :,V=7.680mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,8.00mV
Time interval		  :,20.00uS

index,CH1_Voltage(mV)
796,-96.00
797,-120.00
798,-144.00
799,-184.00
800,-216.00
801,-256.00
802,-288.00
803,-328.00
804,-368.00
805,-408.00
806,-432.00
807,-464.00
808,-472.00
809,-480.00
810,-472.00
811,-464.00
812,-456.00
813,-432.00
814,-392.00
815,-368.00
816,-320.00
817,-280.00
818,-248.00
819,-192.00
820,-168.00
821,-136.00
822,-112.00
823,-96.00
824,-96.00
825,-96.00
826,-104.00
827,-128.00
828,-152.00
829,-184.00
830,-216.00
831,-256.00
832,-288.00
833,-344.00
834,-368.00
835,-400.00
836,-432.00
837,-448.00
838,-464.00
839,-464.00
840,-456.00
841,-440.00
842,-424.00
843,-392.00
844,-368.00
845,-320.00
846,-288.00
847,-256.00
848,-216.00
849,-176.00
850,-144.00
851,-120.00
852,-104.00
853,-88.00
854,-88.00
855,-88.00
856,-112.00
857,-128.00
858,-160.00
859,-184.00
860,-232.00
861,-264.00
862,-296.00
863,-336.00
864,-368.00
865,-392.00
866,-416.00
867,-424.00
868,-432.00
869,-432.00
870,-424.00
871,-408.00
872,-392.00
873,-368.00
874,-328.00
875,-288.00
876,-256.00
877,-224.00
878,-184.00
879,-152.00
880,-120.00
881,-96.00
882,-96.00
883,-80.00
884,-88.00
885,-96.00
886,-112.00
887,-128.00
888,-160.00
889,-192.00
890,-232.00
891,-272.00
892,-304.00
893,-336.00
894,-368.00
895,-376.00
896,-392.00
897,-408.00
898,-416.00
899,-416.00
900,-392.00
901,-384.00
902,-368.00
903,-336.00
904,-296.00
905,-264.00
906,-232.00
907,-192.00
908,-160.00
909,-128.00
910,-112.00
911,-88.00
912,-80.00
913,-80.00
914,-88.00
915,-96.00
916,-112.00
917,-136.00
918,-168.00
919,-192.00
920,-232.00
921,-272.00
922,-304.00
923,-328.00
924,-360.00
925,-376.00
926,-384.00
927,-392.00
928,-392.00
929,-392.00
930,-376.00
931,-360.00
932,-328.00
933,-304.00
934,-272.00
935,-240.00
936,-200.00
937,-176.00
938,-136.00
939,-112.00
940,-96.00
941,-80.00
942,-80.00
943,-80.00
944,-80.00
945,-96.00
946,-112.00
947,-136.00
948,-176.00
949,-200.00
950,-240.00
951,-272.00
952,-296.00
953,-328.00
954,-352.00
955,-368.00
956,-368.00
957,-376.00
958,-368.00
959,-368.00
960,-352.00
961,-328.00
962,-304.00
963,-272.00
964,-240.00
965,-208.00
966,-176.00
967,-144.00
968,-120.00
969,-96.00
970,-80.00
971,-72.00
972,-72.00
973,-80.00
974,-88.00
975,-96.00
976,-120.00
977,-144.00
978,-176.00
979,-216.00
980,-248.00
981,-272.00
982,-296.00
983,-320.00
984,-344.00
985,-352.00
986,-368.00
987,-360.00
988,-352.00
989,-344.00
990,-320.00
991,-304.00
992,-272.00
993,-256.00
994,-216.00
995,-184.00
996,-152.00
997,-128.00
998,-96.00
999,-88.00
1000,-72.00
1001,-72.00
1002,-64.00
1003,-72.00
1004,-88.00
1005,-104.00
1006,-120.00
1007,-152.00
1008,-184.00
1009,-224.00
